sample_id,taxon,saliva_relative_abundance,stool_relative_abundance,fused_raw_abundance,model_abundance
S27,Porphyromonas,0.0611578121,0.0000160449,0.0414346614,0.5440000000
S27,Prevotella,0.1674772961,0.0002685283,0.0991807571,0.5809916667
S27,Streptococcus,0.2563769312,0.0027398294,0.1342553637,0.4893528611
S27,Lactobacillus,0.0000350928,0.0000719807,0.0000530869,0.4473953333
S28,Fusobacterium,0.0410328961,0.0012519907,0.0277725943,0.5819455556
S28,Porphyromonas,0.0483765502,0.0006502410,0.0329809666,0.4872141111
S28,Prevotella,0.1492039019,0.0020940209,0.0891167674,0.5346000000
S28,Streptococcus,0.2390910599,0.0031572567,0.1254933028,0.4621588333
S28,Lactobacillus,0.0000084433,0.0000023757,0.0000054835,0.1330558333
S29,Fusobacterium,0.0233631994,0.0000375171,0.0155879720,0.2834578333
S29,Porphyromonas,0.0220658050,0.0001825613,0.0150066941,0.3536549444
S29,Prevotella,0.0566064670,0.0003860307,0.0336431902,0.2135672222
S29,Streptococcus,0.4283152174,0.0035319690,0.2237899496,0.7504567778
S29,Lactobacillus,0.0001310175,0.0001307741,0.0001308988,0.6488000000
S30,Fusobacterium,0.0485627975,0.0000119895,0.0323791948,0.6609334444
S30,Porphyromonas,0.1005360321,0.0000134178,0.0681093823,0.6840226111
S30,Prevotella,0.1610982547,0.0004016883,0.0954616290,0.5637418056
S30,Streptococcus,0.2127758923,0.0017828644,0.1111866567,0.4122693889
S30,Lactobacillus,0.0000114484,0.0000250024,0.0000180601,0.2442000000
S31,Fusobacterium,0.0406629152,0.0001058233,0.0271438846,0.5684475833
S31,Porphyromonas,0.0517173829,0.0000701023,0.0350569698,0.5025000000
S31,Prevotella,0.1885341766,0.0629447400,0.1372370828,0.7303316667
S31,Streptococcus,0.1293530769,0.0088480312,0.0713321289,0.2537661111
S31,Lactobacillus,0.0000010115,0.0000362788,0.0000182151,0.2447141111
S32,Fusobacterium,0.0213363714,0.0000050297,0.0142259242,0.2319898889
S32,Porphyromonas,0.0245266780,0.0000041145,0.0166161737,0.3681000000
S32,Prevotella,0.1245524369,0.0001572256,0.0737431252,0.4576478889
S32,Streptococcus,0.3620010229,0.0240968213,0.1993064073,0.6955566667
S32,Lactobacillus,0.0000850414,0.0007272280,0.0003983031,0.8084088333
S33,Fusobacterium,0.0470131508,0.0000008383,0.0313423799,0.6437361389
S33,Porphyromonas,0.0917148754,0.0000011910,0.0621298159,0.6570810833
S33,Prevotella,0.1911718202,0.0002203613,0.1131775623,0.6405133333
S33,Streptococcus,0.2085978560,0.0044727123,0.1103153794,0.4085399444
S33,Lactobacillus,0.0000117901,0.0001227228,0.0000659036,0.5021027500
S34,Fusobacterium,0.0597899153,0.0025239042,0.0407012449,0.7963360000
S34,Porphyromonas,0.0863170658,0.0009489972,0.0587789791,0.6448000000
S34,Prevotella,0.1038184847,0.0010768158,0.0618535777,0.3896877778
S34,Streptococcus,0.2123032975,0.0017414979,0.1109216903,0.4113000000
S34,Lactobacillus,0.0000166066,0.0000025046,0.0000097275,0.1790000000
S35,Fusobacterium,0.0612093638,0.0000611343,0.0408266206,0.7988297222
S35,Porphyromonas,0.0415870823,0.0001040227,0.0282054502,0.4498253333
S35,Prevotella,0.2144691460,0.0341057709,0.1407995984,0.7397145833
S35,Streptococcus,0.1879504578,0.0007162576,0.0978006577,0.3586579444
S35,Lactobacillus,0.0000037134,0.0000218222,0.0000125469,0.2075692222
S36,Fusobacterium,0.0417688776,0.0000583003,0.0278653518,0.5830453611
S36,Porphyromonas,0.0278731749,0.0000417538,0.0188952972,0.3851733056
S36,Prevotella,0.2235295884,0.0040597762,0.1338869891,0.7207680000
S36,Streptococcus,0.2630781744,0.0207204495,0.1463874180,0.5296000000
S36,Lactobacillus,0.0000331860,0.0003931262,0.0002087666,0.7399317222
S37,Fusobacterium,0.0271151206,0.0075801646,0.0206034686,0.4111123333
S37,Porphyromonas,0.0103518153,0.0009519115,0.0073195883,0.2567887222
S37,Prevotella,0.0871241684,0.0012954220,0.0520673565,0.3222831944
S37,Streptococcus,0.3351987566,0.0037606213,0.1756174322,0.6295958889
S37,Lactobacillus,0.0001995557,0.0000484998,0.0001258699,0.6400780000
S38,Fusobacterium,0.0502102670,0.0006796086,0.0337000475,0.6790601667
S38,Porphyromonas,0.0801384905,0.0001136080,0.0543240123,0.6209000000
S38,Prevotella,0.1011953893,0.0073344354,0.0628578165,0.3968724722
S38,Streptococcus,0.2728504835,0.0034159120,0.1431227269,0.5215000000
S38,Lactobacillus,0.0000227126,0.0001325083,0.0000762715,0.5401000000
S39,Fusobacterium,0.0364163528,0.0001593025,0.0243306694,0.4986740000
S39,Porphyromonas,0.0965464241,0.0001234738,0.0654422466,0.6730243611
S39,Prevotella,0.0603795746,0.0006764182,0.0359937783,0.2231714444
S39,Streptococcus,0.3382577388,0.0186521535,0.1843735681,0.6537395000
S39,Lactobacillus,0.0000630248,0.0002167986,0.0001380364,0.6605662500
S40,Fusobacterium,0.0575557433,0.0000652317,0.0383922394,0.7589000000
S40,Porphyromonas,0.0750729503,0.0000569511,0.0508742409,0.6044364167
S40,Prevotella,0.1621271122,0.0583391286,0.1197348372,0.6657242500
S40,Streptococcus,0.1326262523,0.0047114100,0.0710376246,0.2521833333
S40,Lactobacillus,0.0000023659,0.0001128522,0.0000562616,0.4606428333
S41,Fusobacterium,0.0257711573,0.0001259567,0.0172227571,0.3196456667
S41,Porphyromonas,0.0140113279,0.0003041819,0.0095896679,0.3015844722
S41,Prevotella,0.0718923228,0.0000500938,0.0425483138,0.2739783333
S41,Streptococcus,0.3895148236,0.0013961782,0.2026428832,0.7038129722
S41,Lactobacillus,0.0006186656,0.0000620758,0.0003471584,0.7976099167
S42,Fusobacterium,0.0440984768,0.0000428628,0.0294132721,0.6081831111
S42,Porphyromonas,0.0627113368,0.0001195734,0.0425204454,0.5496000000
S42,Prevotella,0.0903864206,0.0040205956,0.0551102385,0.3440406667
S42,Streptococcus,0.3644307132,0.0077315170,0.1926866557,0.6751501667
S42,Lactobacillus,0.0000356340,0.0002684325,0.0001491942,0.6765435278
S43,Fusobacterium,0.0375827677,0.0000168106,0.0250607820,0.5150664167
S43,Porphyromonas,0.0765588251,0.0000221433,0.0518695729,0.6083000000
S43,Prevotella,0.1545817889,0.0001056082,0.0914858841,0.5470450278
S43,Streptococcus,0.2695654593,0.0366850947,0.1574378763,0.5677715556
S43,Lactobacillus,0.0000704999,0.0001719459,0.0001199858,0.6333270278
S44,Fusobacterium,0.0366783411,0.0009370267,0.0247645697,0.5068567500
S44,Porphyromonas,0.0097087861,0.0005914987,0.0067677257,0.2477473611
S44,Prevotella,0.1772706606,0.0066148700,0.1075661828,0.6151642778
S44,Streptococcus,0.3052681924,0.0065888634,0.1614596266,0.5837000000
S44,Lactobacillus,0.0000751582,0.0000672755,0.0000713130,0.5243407222
S45,Fusobacterium,0.0694867081,0.0000432197,0.0463388787,0.8784217500
S45,Porphyromonas,0.0955800772,0.0000595844,0.0647670150,0.6701244444
S45,Prevotella,0.1766738068,0.0006233887,0.1047658895,0.6030000000
S45,Streptococcus,0.1757090307,0.0057586368,0.0938810632,0.3456813333
S45,Lactobacillus,0.0000192129,0.0000346080,0.0000267227,0.3082688889
S46,Fusobacterium,0.0734972958,0.0000649027,0.0490198314,0.9207230556
S46,Porphyromonas,0.1234236565,0.0000266199,0.0836181609,0.7567134167
S46,Prevotella,0.1524869651,0.0027621076,0.0913317416,0.5464451667
S46,Streptococcus,0.1181824011,0.0063028731,0.0643144802,0.2204938333
S46,Lactobacillus,0.0000031722,0.0000228641,0.0000127780,0.2101529167
S47,Fusobacterium,0.0279171399,0.0000433989,0.0186258929,0.3586182222
S47,Porphyromonas,0.0219031560,0.0000414915,0.0148510062,0.3514555000
S47,Prevotella,0.2026006413,0.0000307999,0.1198608469,0.6659241944
S47,Streptococcus,0.2825758962,0.0015401789,0.1472624027,0.5312870556
S47,Lactobacillus,0.0002496430,0.0000482373,0.0001513963,0.6779219722
S48,Fusobacterium,0.0305924196,0.0004496343,0.0205448245,0.4090710556
S48,Porphyromonas,0.1590032933,0.0004359911,0.1078525507,0.8492547222
S48,Prevotella,0.0180392475,0.0099112468,0.0147193599,0.1467760000
S48,Streptococcus,0.2930568522,0.0190303158,0.1611181495,0.5823330000
S48,Lactobacillus,0.0000064205,0.0000582016,0.0000316796,0.3454920000
S49,Fusobacterium,0.0345764517,0.0000073206,0.0230534080,0.4719496667
S49,Porphyromonas,0.0277089734,0.0000194212,0.0187768598,0.3850733611
S49,Prevotella,0.2921552064,0.0000294574,0.1728362385,0.8321240000
S49,Streptococcus,0.1923523728,0.0006257757,0.1000395668,0.3684091111
S49,Lactobacillus,0.0001044208,0.0000248530,0.0000656072,0.5004434167
S50,Fusobacterium,0.0305579976,0.0001536708,0.0204232220,0.4039000000
S50,Porphyromonas,0.0803253989,0.0001478654,0.0544616784,0.6224331111
S50,Prevotella,0.0719179609,0.0022375279,0.0434569389,0.2782000000
S50,Streptococcus,0.3694867814,0.0144807872,0.1985579694,0.6920290000
S50,Lactobacillus,0.0000568504,0.0003868797,0.0002178403,0.7462152778
S51,Fusobacterium,0.0269159249,0.0001948122,0.0180088874,0.3397593333
S51,Porphyromonas,0.0128172701,0.0002647732,0.0087680775,0.2882859167
S51,Prevotella,0.1075892634,0.0001046974,0.0636871167,0.4018000000
S51,Streptococcus,0.3448717265,0.0036176134,0.1805641906,0.6444075000
S51,Lactobacillus,0.0002706757,0.0000403353,0.0001583145,0.6882000000
S52,Fusobacterium,0.0836739060,0.0000396865,0.0557958329,1.0000000000
S52,Porphyromonas,0.0799859010,0.0000450402,0.0541985266,0.6199673611
S52,Prevotella,0.1828265079,0.0027796147,0.1092862276,0.6212313333
S52,Streptococcus,0.1702208129,0.0030755095,0.0897434446,0.3298836667
S52,Lactobacillus,0.0000188925,0.0001106386,0.0000636467,0.4953205556
S53,Fusobacterium,0.0418398634,0.0004978504,0.0280591924,0.5877896667
S53,Porphyromonas,0.0070823235,0.0005097140,0.0049621268,0.2009700000
S53,Prevotella,0.2543246471,0.0030098980,0.1516749608,0.7692430000
S53,Streptococcus,0.2359190277,0.0005628511,0.1225993871,0.4525000000
S53,Lactobacillus,0.0000620312,0.0000109562,0.0000371165,0.3754593889
S54,Fusobacterium,0.0454512361,0.0000284607,0.0303103110,0.6278387778
S54,Porphyromonas,0.0406884916,0.0001190953,0.0276015896,0.4469262778
S54,Prevotella,0.2142739996,0.0023037968,0.1276946210,0.6997397222
S54,Streptococcus,0.2096815331,0.0010677685,0.1092378687,0.4031126667
S54,Lactobacillus,0.0000033076,0.0000019674,0.0000026539,0.0854815278
S55,Fusobacterium,0.0232316030,0.0000945719,0.0155192593,0.2807862222
S55,Porphyromonas,0.0034385074,0.0000279957,0.0023383424,0.1039537778
S55,Prevotella,0.3099050608,0.0000529342,0.1833457415,0.8659501944
S55,Streptococcus,0.1091318506,0.0028609580,0.0579643838,0.1836765000
S55,Lactobacillus,0.0000332822,0.0000031255,0.0000185716,0.2489000000
S56,Fusobacterium,0.0318041876,0.0000237324,0.0212107025,0.4277686111
S56,Porphyromonas,0.1140008311,0.0000132917,0.0772306571,0.7259680000
S56,Prevotella,0.1205021353,0.0000785832,0.0713150506,0.4476915833
S56,Streptococcus,0.2619576782,0.0799083588,0.1743043022,0.6246000000
S56,Lactobacillus,0.0000879211,0.0004220691,0.0002509201,0.7638133889
S57,Fusobacterium,0.0291774330,0.0004265012,0.0195937891,0.3873738611
S57,Porphyromonas,0.0069991151,0.0006531706,0.0049520362,0.2005850556
S57,Prevotella,0.1994701289,0.0014499088,0.1185886306,0.6600500556
S57,Streptococcus,0.2931847161,0.0001838844,0.1521102415,0.5464798889
S57,Lactobacillus,0.0000862442,0.0000107421,0.0000494139,0.4299000000
S58,Fusobacterium,0.0186801522,0.0000827139,0.0124810061,0.1583708333
S58,Porphyromonas,0.0060383530,0.0004894105,0.0042483715,0.1805620000
S58,Prevotella,0.0714408733,0.0001196641,0.0423096752,0.2719893889
S58,Streptococcus,0.4437199449,0.0003934665,0.2302664553,0.7571606667
S58,Lactobacillus,0.0008540740,0.0000891600,0.0004809453,0.8281597778
S59,Fusobacterium,0.0463582484,0.0010229887,0.0312464952,0.6424000000
S59,Porphyromonas,0.0571166937,0.0002640681,0.0387771370,0.5271000000
S59,Prevotella,0.1697788804,0.0012073339,0.1009257136,0.5892741111
S59,Streptococcus,0.2190840578,0.0073312714,0.1171290125,0.4336646944
S59,Lactobacillus,0.0000162192,0.0000097174,0.0000130476,0.2114681111
S60,Fusobacterium,0.0469710379,0.0000383667,0.0313268141,0.6434723889
S60,Porphyromonas,0.1359868464,0.0000881310,0.0921485511,0.7909000000
S60,Prevotella,0.0664586431,0.0023625826,0.0402785621,0.2546630000
S60,Streptococcus,0.2441601950,0.0007387112,0.1269572584,0.4677578333
S60,Lactobacillus,0.0000032268,0.0000038186,0.0000035155,0.1107000000
S61,Fusobacterium,0.0415278512,0.0000103207,0.0276886743,0.5794838889
S61,Porphyromonas,0.0696473926,0.0000310191,0.0471904979,0.5812000000
S61,Prevotella,0.1702419893,0.0021478694,0.1015838277,0.5925092500
S61,Streptococcus,0.2378916200,0.0059432339,0.1262127674,0.4648000000
S61,Lactobacillus,0.0000028314,0.0000095345,0.0000061012,0.1388841667
S62,Fusobacterium,0.0333538036,0.0000358168,0.0222478080,0.4512000000
S62,Porphyromonas,0.0249155406,0.0001144651,0.0169151937,0.3693000000
S62,Prevotella,0.3049859084,0.0058948542,0.1828219566,0.8647156667
S62,Streptococcus,0.1039574590,0.0007738425,0.0542764585,0.1589880000
S62,Lactobacillus,0.0000013603,0.0000019465,0.0000016463,0.0305867778
S63,Fusobacterium,0.0298109246,0.0001222078,0.0199146857,0.3974361667
S63,Porphyromonas,0.0281695629,0.0000411120,0.0190958690,0.3871730278
S63,Prevotella,0.2389420506,0.0000046478,0.1413479002,0.7419430000
S63,Streptococcus,0.1975489706,0.0004561025,0.1026524045,0.3793000000
S63,Lactobacillus,0.0002611316,0.0000059944,0.0001366744,0.6584000000
S64,Fusobacterium,0.0513137326,0.0004454239,0.0343576297,0.6911282500
S64,Porphyromonas,0.1033631517,0.0002250921,0.0700928099,0.6936000000
S64,Prevotella,0.1214412496,0.0179156702,0.0791561538,0.4893562500
S64,Streptococcus,0.2557669145,0.0491283523,0.1562742734,0.5635000000
S64,Lactobacillus,0.0000100390,0.0001618162,0.0000840767,0.5563188333
S65,Fusobacterium,0.0221580764,0.0000086595,0.0147749375,0.2589000000
S65,Porphyromonas,0.0128863610,0.0000140303,0.0087339962,0.2880719444
S65,Prevotella,0.3539568951,0.0000631546,0.2094087475,0.9829042222
S65,Streptococcus,0.1759454551,0.0003411762,0.0913952467,0.3355000000
S65,Lactobacillus,0.0000428872,0.0000124203,0.0000280253,0.3156676389
S66,Fusobacterium,0.0479964690,0.0004874844,0.0321601408,0.6564023333
S66,Porphyromonas,0.0751398496,0.0002398266,0.0509785519,0.6048362778
S66,Prevotella,0.1673328746,0.0008493972,0.0993325810,0.5819381667
S66,Streptococcus,0.1977001379,0.0016794735,0.1033198180,0.3819746389
S66,Lactobacillus,0.0000098489,0.0000030889,0.0000065513,0.1438990000
S67,Fusobacterium,0.0204968511,0.0002870155,0.0137602392,0.2145911667
S67,Porphyromonas,0.0017902222,0.0000682334,0.0012347419,0.0000000000
S67,Prevotella,0.2314407747,0.0000098392,0.1369126461,0.7299159167
S67,Streptococcus,0.1371746357,0.0006180729,0.0714251795,0.2544572222
S67,Lactobacillus,0.0001629737,0.0000013153,0.0000841160,0.5570456667
S68,Fusobacterium,0.0535045070,0.0000020541,0.0356703560,0.7196495556
S68,Porphyromonas,0.1160850859,0.0000078658,0.0786408213,0.7324000000
S68,Prevotella,0.1582259100,0.0020025064,0.0944163508,0.5583000000
S68,Streptococcus,0.2180672680,0.0020833790,0.1140750251,0.4225671667
S68,Lactobacillus,0.0000066795,0.0000869386,0.0000458303,0.4152675000
S69,Fusobacterium,0.0269793274,0.0001465553,0.0180350701,0.3408000000
S69,Porphyromonas,0.0041157972,0.0000749282,0.0028122911,0.1383700556
S69,Prevotella,0.2388901173,0.0000096041,0.1413192034,0.7418000000
S69,Streptococcus,0.1681032594,0.0012149575,0.0877496326,0.3209541667
S69,Lactobacillus,0.0002470137,0.0000037432,0.0001283452,0.6452509444
S70,Fusobacterium,0.0435638049,0.0001767201,0.0291014433,0.6004424167
S70,Porphyromonas,0.0243520434,0.0001953374,0.0165595576,0.3667275000
S70,Prevotella,0.1873660664,0.0043826053,0.1126263428,0.6366012500
S70,Streptococcus,0.2594366856,0.0028833954,0.1359110274,0.4963062222
S70,Lactobacillus,0.0000145782,0.0000201511,0.0000172967,0.2392177778
S71,Fusobacterium,0.0271970359,0.0000587316,0.0181509345,0.3440580556
S71,Porphyromonas,0.0581808959,0.0000543007,0.0394303813,0.5304000000
S71,Prevotella,0.1023995496,0.0007596642,0.0608846669,0.3809492778
S71,Streptococcus,0.3465237572,0.0132769821,0.1860716062,0.6575381111
S71,Lactobacillus,0.0000299808,0.0001114351,0.0000697146,0.5165830000
S72,Fusobacterium,0.0254094470,0.0002454139,0.0170214360,0.3155293333
S72,Porphyromonas,0.0051561806,0.0000644690,0.0035136930,0.1525897222
S72,Prevotella,0.2383967455,0.0000063202,0.1410260084,0.7400598056
S72,Streptococcus,0.1359758942,0.0010196661,0.0709969695,0.2518751667
S72,Lactobacillus,0.0000967500,0.0000007791,0.0000499349,0.4320536667
S73,Fusobacterium,0.0755773879,0.0000109894,0.0503885884,0.9442075000
S73,Porphyromonas,0.1257426070,0.0000346570,0.0851916554,0.7645125833
