sample_id,bile_acids,scfa,tryptophan_metabolism
Z137,0.752,0.527,0.627
Z138,0.511,0.622,0.527
Z139,0.566,0.621,0.528
Z140,0.578,0.609,0.581
Z141,0.667,0.596,0.616
Z142,0.583,0.575,0.606
Z143,0.751,0.555,0.695
Z144,0.594,0.629,0.586
Z145,0.654,0.563,0.589
Z146,0.586,0.603,0.539
Z147,0.903,0.38,0.814
Z148,0.59,0.619,0.601
Z149,0.773,0.432,0.77
Z150,0.526,0.654,0.494
Z151,0.57,0.609,0.578
Z152,0.716,0.528,0.692
Z153,0.494,0.727,0.438
Z154,0.636,0.632,0.572
Z155,0.578,0.639,0.558
Z156,0.592,0.608,0.586
Z157,0.598,0.558,0.617
Z158,0.597,0.572,0.638
Z159,0.629,0.529,0.605
Z160,0.73,0.513,0.672
Z161,0.469,0.701,0.422
Z162,0.568,0.623,0.605
Z163,0.46,0.769,0.444
Z164,0.699,0.544,0.663
Z165,0.892,0.383,0.787
Z166,0.437,0.723,0.448
Z167,0.701,0.534,0.633
Z168,0.551,0.605,0.523
Z169,0.711,0.531,0.611
Z170,0.43,0.78,0.43
Z171,0.663,0.533,0.668
Z172,0.901,0.401,0.838
Z173,0.693,0.561,0.643
Z174,0.627,0.603,0.626
Z175,0.487,0.736,0.439
Z176,0.635,0.614,0.624
Z177,0.65,0.528,0.604
Z178,0.676,0.607,0.598
Z179,0.498,0.724,0.45
Z180,0.598,0.595,0.59
Z181,0.492,0.693,0.409
Z182,0.557,0.655,0.506
Z183,0.824,0.508,0.771
Z184,0.436,0.78,0.4
Z185,0.695,0.523,0.673
Z186,0.563,0.645,0.535
Z187,0.749,0.602,0.668
Z188,0.529,0.687,0.51
Z189,0.43,0.737,0.474
Z190,0.823,0.465,0.705
Z191,0.714,0.575,0.667
Z192,0.731,0.524,0.705
Z193,0.687,0.591,0.618
Z194,0.82,0.467,0.727
Z195,0.579,0.613,0.599
Z196,0.549,0.706,0.494
Z197,0.645,0.62,0.589
Z198,0.734,0.502,0.695
Z199,0.589,0.673,0.556
Z200,0.724,0.565,0.638
Z201,0.536,0.664,0.504
Z202,0.805,0.472,0.777
Z203,0.779,0.512,0.718
Z204,0.795,0.453,0.754
Z205,0.668,0.595,0.619
Z206,0.578,0.645,0.552
Z207,0.654,0.575,0.608
Z208,0.693,0.519,0.671
Z209,0.523,0.696,0.486
Z210,0.597,0.606,0.628
Z211,0.43,0.676,0.451
Z212,0.603,0.595,0.644
Z213,0.644,0.579,0.605
Z214,0.567,0.681,0.502
Z215,0.64,0.636,0.57
Z216,0.813,0.471,0.782
Z217,0.612,0.603,0.566
Z218,0.583,0.591,0.599
Z219,0.605,0.63,0.608
Z220,0.788,0.524,0.669
Z221,0.553,0.661,0.547
Z222,0.611,0.622,0.579
Z223,0.781,0.502,0.755
Z224,0.631,0.595,0.621
Z225,0.622,0.663,0.524
Z226,0.596,0.592,0.546
Z227,0.901,0.438,0.817
Z228,0.441,0.723,0.433
Z229,0.672,0.562,0.657
Z230,0.811,0.505,0.737
Z231,0.63,0.569,0.64
Z232,0.725,0.5,0.707
Z233,0.835,0.452,0.778
Z234,0.481,0.668,0.487
Z235,0.481,0.692,0.503
Z236,0.571,0.611,0.543
Z237,0.831,0.388,0.816
Z238,0.455,0.69,0.494
Z239,0.678,0.517,0.605
Z240,0.798,0.501,0.726
