sample_id,bile_acids,scfa,tryptophan_metabolism
X084,0.691,0.577,0.674
X085,0.703,0.541,0.643
X086,0.684,0.518,0.698
X087,0.788,0.445,0.745
X088,0.557,0.65,0.566
X089,0.557,0.627,0.523
X090,0.559,0.652,0.556
X091,0.664,0.588,0.649
X092,0.504,0.707,0.466
X093,0.642,0.552,0.607
X094,0.589,0.604,0.551
X095,0.568,0.648,0.509
X096,0.745,0.527,0.656
X097,0.653,0.578,0.648
X098,0.832,0.488,0.76
X099,0.794,0.495,0.736
X100,0.731,0.547,0.691
X101,0.856,0.442,0.768
X102,0.607,0.65,0.558
X103,0.786,0.488,0.691
X104,0.635,0.59,0.59
X105,0.723,0.557,0.637
X106,0.519,0.64,0.558
X107,0.913,0.447,0.807
X108,0.74,0.513,0.685
X109,0.728,0.523,0.653
X110,0.689,0.549,0.615
X111,0.636,0.583,0.591
X112,0.658,0.581,0.639
X113,0.728,0.544,0.675
X114,0.676,0.573,0.629
X115,0.675,0.594,0.641
X116,0.566,0.646,0.576
X117,0.527,0.673,0.508
X118,0.702,0.542,0.623
X119,0.73,0.509,0.668
X120,0.678,0.541,0.611
X121,0.837,0.442,0.729
X122,0.608,0.592,0.56
X123,0.585,0.63,0.537
X124,0.736,0.504,0.641
X125,0.701,0.548,0.692
X126,0.629,0.581,0.592
X127,0.613,0.623,0.525
X128,0.609,0.598,0.559
X129,0.806,0.47,0.703
X130,0.578,0.587,0.509
X131,0.592,0.596,0.59
X132,0.601,0.603,0.529
X133,0.548,0.686,0.564
X134,0.611,0.581,0.582
X135,0.695,0.555,0.668
X136,0.775,0.516,0.69
X137,0.527,0.669,0.498
X138,0.605,0.589,0.558
X139,0.518,0.655,0.548
X140,0.645,0.581,0.608
X141,0.615,0.581,0.581
X142,0.657,0.582,0.654
X143,0.802,0.432,0.708
X144,0.548,0.663,0.575
X145,0.565,0.605,0.515
X146,0.841,0.462,0.775
X147,0.551,0.659,0.576
X148,0.654,0.605,0.608
X149,0.688,0.573,0.661
X150,0.602,0.611,0.541
X151,0.601,0.606,0.531
X152,0.634,0.56,0.578
X153,0.654,0.571,0.636
X154,0.827,0.458,0.762
X155,0.563,0.656,0.584
X156,0.543,0.66,0.54
X157,0.598,0.622,0.542
X158,0.63,0.579,0.564
X159,0.557,0.67,0.531
X160,0.638,0.584,0.631
X161,0.673,0.586,0.63
X162,0.62,0.606,0.631
X163,0.638,0.585,0.545
X164,0.84,0.438,0.738
X165,0.604,0.63,0.567
X166,0.684,0.557,0.661
X167,0.595,0.618,0.522
X168,0.703,0.529,0.642
X169,0.482,0.675,0.483
X170,0.495,0.699,0.486
X171,0.674,0.596,0.62
X172,0.706,0.53,0.654
X173,0.783,0.457,0.69
X174,0.564,0.68,0.501
X175,0.693,0.53,0.674
X176,0.737,0.51,0.734
X177,0.798,0.474,0.744
X178,0.775,0.499,0.677
X179,0.614,0.595,0.595
X180,0.626,0.588,0.623
X181,0.698,0.58,0.664
X182,0.757,0.497,0.685
X183,0.586,0.599,0.569
X184,0.553,0.629,0.5
X185,0.526,0.674,0.538
X186,0.61,0.574,0.587
X187,0.847,0.442,0.751
X188,0.787,0.471,0.707
X189,0.605,0.603,0.535
X190,0.685,0.558,0.65
X191,0.627,0.58,0.613
X192,0.714,0.566,0.656
X193,0.763,0.498,0.703
X194,0.846,0.456,0.756
X195,0.733,0.509,0.659
X196,0.689,0.535,0.614
X197,0.494,0.687,0.5
X198,0.81,0.484,0.722
X199,0.689,0.52,0.632
X200,0.557,0.666,0.56
X201,0.67,0.554,0.641
X202,0.58,0.617,0.558
X203,0.485,0.679,0.49
X204,0.69,0.56,0.68
X205,0.745,0.504,0.71
X206,0.679,0.554,0.625
X207,0.771,0.49,0.722
X208,0.621,0.606,0.554
X209,0.792,0.483,0.728
X210,0.559,0.632,0.56
X211,0.749,0.532,0.691
X212,0.613,0.626,0.588
X213,0.609,0.577,0.618
X214,0.684,0.578,0.684
X215,0.755,0.523,0.733
X216,0.634,0.566,0.626
X217,0.66,0.585,0.592
X218,0.525,0.697,0.482
X219,0.709,0.578,0.701
X220,0.912,0.451,0.803
X221,0.723,0.499,0.647
X222,0.821,0.488,0.726
X223,0.822,0.475,0.749
X224,0.696,0.565,0.664
X225,0.48,0.664,0.48
X226,0.747,0.495,0.717
X227,0.578,0.608,0.52
X228,0.467,0.719,0.495
X229,0.562,0.651,0.588
X230,0.729,0.545,0.667
X231,0.81,0.489,0.769
X232,0.658,0.561,0.583
X233,0.592,0.609,0.591
X234,0.52,0.666,0.557
X235,0.672,0.56,0.642
X236,0.822,0.463,0.708
X237,0.629,0.557,0.633
X238,0.81,0.472,0.732
X239,0.591,0.611,0.599
X240,0.573,0.648,0.56
