sample_id,bile_acids,scfa,tryptophan_metabolism
S368,0.553,0.469,0.449
S369,0.304,0.566,0.363
S370,0.516,0.464,0.448
S371,0.419,0.544,0.278
S372,0.592,0.521,0.518
S373,0.275,0.837,0.162
S374,0.433,0.429,0.527
S375,0.589,0.44,0.61
S376,0.732,0.236,0.709
S377,0.573,0.345,0.673
S378,0.735,0.493,0.659
S379,0.576,0.425,0.581
S380,0.12,0.847,0.103
S381,0.485,0.445,0.526
S382,0.503,0.591,0.55
S383,0.623,0.353,0.591
S384,0.364,0.427,0.498
S385,0.464,0.424,0.471
S386,0.544,0.496,0.596
S387,0.656,0.336,0.628
S388,0.492,0.571,0.475
S389,0.563,0.472,0.52
S390,0.483,0.509,0.502
S391,0.695,0.27,0.568
S392,0.739,0.238,0.694
S393,0.408,0.581,0.411
S394,0.406,0.66,0.411
S395,0.14,0.747,0.223
S396,0.683,0.461,0.474
S397,0.409,0.578,0.432
S398,0.604,0.481,0.574
S399,0.466,0.553,0.497
S400,0.636,0.487,0.526
S401,0.467,0.564,0.422
S402,0.416,0.514,0.415
S403,0.614,0.495,0.603
S404,0.4,0.562,0.403
S405,0.586,0.466,0.557
S406,0.56,0.549,0.516
S407,0.521,0.505,0.476
S408,0.541,0.42,0.513
S409,0.447,0.438,0.425
S410,0.585,0.443,0.578
S411,0.424,0.636,0.494
S412,0.622,0.371,0.594
S413,0.536,0.492,0.434
S414,0.576,0.414,0.639
S415,0.446,0.664,0.374
S416,0.46,0.323,0.532
S417,0.399,0.562,0.553
S418,0.302,0.717,0.32
S419,0.473,0.529,0.499
S420,0.599,0.466,0.497
S421,0.363,0.602,0.373
S422,0.453,0.602,0.444
S423,0.492,0.654,0.358
S424,0.494,0.426,0.537
S425,0.342,0.532,0.429
S426,0.482,0.591,0.485
S427,0.5,0.608,0.41
S428,0.603,0.459,0.505
S429,0.222,0.736,0.364
S430,0.855,0.263,0.771
S431,0.646,0.329,0.572
S432,0.269,0.836,0.202
S433,0.606,0.318,0.596
S434,0.58,0.579,0.464
S435,0.353,0.558,0.426
S436,0.422,0.799,0.248
S437,0.667,0.459,0.569
S438,0.596,0.528,0.516
S439,0.541,0.547,0.52
S440,0.346,0.523,0.42
S441,0.223,0.613,0.227
S442,0.279,0.672,0.254
S443,0.627,0.484,0.639
S444,0.609,0.398,0.522
S445,0.492,0.633,0.482
S446,0.615,0.568,0.454
S447,0.484,0.478,0.5
S448,0.313,0.518,0.286
S449,0.694,0.303,0.657
S450,0.51,0.535,0.482
S451,0.278,0.808,0.234
S452,0.484,0.587,0.429
S453,0.374,0.632,0.317
S454,0.525,0.496,0.459
S455,0.43,0.771,0.421
S456,0.465,0.67,0.419
S457,0.396,0.682,0.28
S458,0.522,0.485,0.477
S459,0.519,0.493,0.389
S460,0.758,0.286,0.702
S461,0.357,0.737,0.378
S462,0.675,0.419,0.431
S463,0.367,0.612,0.32
S464,0.241,0.696,0.214
S465,0.416,0.658,0.417
S466,0.465,0.499,0.506
S467,0.945,0.173,0.788
S468,0.772,0.417,0.652
S469,0.794,0.242,0.689
S470,0.541,0.492,0.489
S471,0.795,0.453,0.62
S472,0.47,0.464,0.463
S473,0.571,0.425,0.533
S474,0.324,0.633,0.389
S475,0.554,0.496,0.57
S476,0.581,0.52,0.504
S477,0.835,0.298,0.647
S478,0.393,0.612,0.519
S479,0.528,0.508,0.437
S480,0.22,0.691,0.294
S481,0.285,0.623,0.389
S482,0.453,0.511,0.491
S483,0.144,0.724,0.343
S484,0.732,0.231,0.767
S485,0.362,0.515,0.421
S486,0.597,0.466,0.516
S487,0.549,0.569,0.437
S488,0.674,0.327,0.591
S489,0.472,0.407,0.479
S490,0.653,0.479,0.443
S491,0.578,0.607,0.452
S492,0.6,0.491,0.495
S493,0.533,0.593,0.562
S494,0.499,0.531,0.534
S495,0.836,0.298,0.721
S496,0.277,0.554,0.385
S497,0.61,0.442,0.567
S498,0.545,0.501,0.402
S499,0.764,0.334,0.674
S500,0.49,0.484,0.615
S501,0.306,0.685,0.357
S502,0.627,0.444,0.585
S503,0.421,0.569,0.468
S504,0.778,0.279,0.67
S505,0.283,0.592,0.357
S506,0.655,0.48,0.633
S507,0.504,0.547,0.478
S508,0.615,0.446,0.611
S509,0.591,0.554,0.429
S510,0.555,0.497,0.494
S511,0.39,0.611,0.43
S512,0.178,0.661,0.297
S513,0.37,0.581,0.358
S514,0.477,0.538,0.494
S515,0.386,0.608,0.473
S516,0.217,0.665,0.324
S517,0.565,0.446,0.619
S518,0.618,0.345,0.564
S519,0.627,0.353,0.641
S520,0.492,0.541,0.466
S521,0.381,0.577,0.467
S522,0.665,0.448,0.556
S523,0.535,0.379,0.519
S524,0.439,0.452,0.42
S525,0.469,0.617,0.492
S526,0.38,0.629,0.416
S527,0.549,0.462,0.603
S528,0.551,0.486,0.612
S529,0.84,0.305,0.707
S530,0.566,0.518,0.585
S531,0.713,0.448,0.585
S532,0.68,0.385,0.656
S533,0.661,0.468,0.575
S534,0.26,0.807,0.288
S535,0.545,0.501,0.71
S536,0.495,0.643,0.513
S537,0.341,0.588,0.364
S538,0.644,0.353,0.599
S539,0.693,0.278,0.704
S540,0.563,0.484,0.483
S541,0.708,0.549,0.536
S542,0.231,0.724,0.261
S543,0.505,0.548,0.483
S544,0.545,0.457,0.594
S545,0.552,0.467,0.586
S546,0.204,0.773,0.344
S547,0.764,0.294,0.702
S548,0.696,0.159,0.585
S549,0.628,0.544,0.58
S550,0.334,0.641,0.256
S551,0.474,0.607,0.467
S552,0.585,0.472,0.506
S553,0.374,0.787,0.4
S554,0.479,0.447,0.529
S555,0.697,0.435,0.561
S556,0.437,0.576,0.473
S557,0.374,0.545,0.434
S558,0.724,0.343,0.61
S559,0.383,0.727,0.389
S560,0.477,0.582,0.45
S561,0.549,0.562,0.54
S562,0.451,0.606,0.429
S563,0.485,0.616,0.564
S564,0.728,0.344,0.649
S565,0.665,0.455,0.684
S566,0.817,0.223,0.749
S567,0.257,0.643,0.335
S568,0.321,0.575,0.484
S569,0.499,0.575,0.594
S570,0.497,0.469,0.433
S571,0.502,0.35,0.478
S572,0.31,0.569,0.411
S573,0.562,0.484,0.432
S574,0.807,0.164,0.688
S575,0.66,0.475,0.473
S576,0.61,0.305,0.535
S577,0.627,0.333,0.626
S578,0.573,0.454,0.527
S579,0.246,0.641,0.411
S580,0.673,0.328,0.576
S581,0.575,0.45,0.575
S582,0.422,0.555,0.458
S583,0.325,0.645,0.335
S584,0.595,0.635,0.549
S585,0.521,0.525,0.544
S586,0.442,0.522,0.455
S587,0.403,0.46,0.57
S588,0.798,0.289,0.777
S589,0.5,0.595,0.49
S590,0.759,0.285,0.511
S591,0.353,0.599,0.345
S592,0.698,0.349,0.563
S593,0.64,0.367,0.713
S594,0.362,0.574,0.377
S595,0.709,0.277,0.643
S596,0.141,0.847,0.119
S597,0.475,0.722,0.304
S598,0.765,0.41,0.789
S599,0.785,0.238,0.707
S600,0.325,0.499,0.453
S601,0.31,0.578,0.382
S602,0.632,0.412,0.582
S603,0.442,0.539,0.498
S604,0.656,0.469,0.499
S605,0.367,0.65,0.405
S606,0.39,0.642,0.352
S607,0.511,0.479,0.419
S608,0.456,0.522,0.459
S609,0.558,0.388,0.522
S610,0.444,0.606,0.453
S611,0.528,0.652,0.547
S612,0.428,0.464,0.558
S613,0.575,0.484,0.52
S614,0.481,0.606,0.514
S615,0.475,0.406,0.472
S616,0.681,0.365,0.637
S617,0.445,0.557,0.655
S618,0.394,0.706,0.337
S619,0.553,0.557,0.469
S620,0.393,0.751,0.341
S621,0.502,0.512,0.582
S622,0.451,0.605,0.206
S623,0.517,0.574,0.356
S624,0.701,0.303,0.67
S625,0.574,0.451,0.474
S626,0.441,0.625,0.327
S627,0.301,0.676,0.42
S628,0.631,0.548,0.557
S629,0.702,0.371,0.703
S630,0.529,0.539,0.436
S631,0.677,0.433,0.658
S632,0.47,0.604,0.57
S633,0.263,0.698,0.386
S634,0.51,0.47,0.476
S635,0.561,0.483,0.418
S636,0.363,0.788,0.213
S637,0.448,0.539,0.521
S638,0.676,0.339,0.509
S639,0.339,0.519,0.361
S640,0.459,0.605,0.417
S641,0.462,0.548,0.492
S642,0.21,0.826,0.322
S643,0.376,0.582,0.338
S644,0.504,0.576,0.488
S645,0.647,0.402,0.692
S646,0.45,0.47,0.534
S647,0.408,0.41,0.515
S648,0.863,0.2,0.711
S649,0.344,0.747,0.341
S650,0.482,0.653,0.468
S651,0.127,0.815,0.218
S652,0.559,0.496,0.526
S653,0.88,0.188,0.896
S654,0.474,0.533,0.525
S655,0.652,0.486,0.59
S656,0.321,0.699,0.282
S657,0.38,0.693,0.394
S658,0.6,0.473,0.575
S659,0.638,0.459,0.557
S660,0.52,0.403,0.534
S661,0.352,0.678,0.298
S662,0.543,0.491,0.584
S663,0.856,0.309,0.746
S664,0.559,0.512,0.497
S665,0.532,0.454,0.395
S666,0.479,0.597,0.405
S667,0.51,0.526,0.505
S668,0.374,0.495,0.402
S669,0.403,0.541,0.437
S670,0.419,0.398,0.484
S671,0.153,0.697,0.239
S672,0.381,0.498,0.347
S673,0.441,0.707,0.516
S674,0.617,0.35,0.617
S675,0.515,0.525,0.409
S676,0.273,0.659,0.257
S677,0.95,0.119,0.803
S678,0.678,0.426,0.51
S679,0.486,0.597,0.436
S680,0.721,0.315,0.668
S681,0.347,0.707,0.284
S682,0.619,0.503,0.443
S683,0.297,0.642,0.311
S684,0.78,0.299,0.652
S685,0.757,0.395,0.722
S686,0.393,0.644,0.349
S687,0.492,0.533,0.468
S688,0.449,0.52,0.321
S689,0.426,0.513,0.436
S690,0.673,0.324,0.633
S691,0.168,0.737,0.294
S692,0.468,0.511,0.487
S693,0.651,0.525,0.504
S694,0.515,0.527,0.545
S695,0.363,0.621,0.449
S696,0.511,0.486,0.599
S697,0.807,0.21,0.664
S698,0.508,0.668,0.428
S699,0.285,0.724,0.384
S700,0.629,0.357,0.509
S701,0.231,0.75,0.248
S702,0.492,0.482,0.385
S703,0.361,0.762,0.312
S704,0.213,0.634,0.312
S705,0.737,0.403,0.637
S706,0.522,0.587,0.557
S707,0.647,0.27,0.569
S708,0.452,0.647,0.498
S709,0.628,0.483,0.539
S710,0.533,0.544,0.456
S711,0.645,0.56,0.486
S712,0.531,0.41,0.452
S713,0.446,0.604,0.428
S714,0.549,0.546,0.468
S715,0.5,0.564,0.452
S716,0.709,0.397,0.641
S717,0.561,0.551,0.465
S718,0.544,0.438,0.498
S719,0.7,0.391,0.57
S720,0.641,0.366,0.603
S721,0.415,0.564,0.398
S722,0.773,0.328,0.684
S723,0.841,0.284,0.617
S724,0.585,0.402,0.696
S725,0.616,0.507,0.579
S726,0.342,0.733,0.336
S727,0.393,0.504,0.379
S728,0.12,0.773,0.24
S729,0.492,0.493,0.497
S730,0.625,0.584,0.534
S731,0.533,0.586,0.48
S732,0.763,0.324,0.656
S733,0.559,0.498,0.566
S734,0.539,0.533,0.528
S735,0.782,0.33,0.618
S736,0.578,0.415,0.479
S737,0.446,0.639,0.402
S738,0.243,0.639,0.258
S739,0.587,0.509,0.51
S740,0.268,0.589,0.347
S741,0.415,0.68,0.386
S742,0.554,0.543,0.503
S743,0.523,0.409,0.554
S744,0.676,0.498,0.674
S745,0.628,0.504,0.543
S746,0.461,0.643,0.437
S747,0.942,0.215,0.75
S748,0.362,0.578,0.472
S749,0.54,0.566,0.365
S750,0.391,0.672,0.411
S751,0.262,0.632,0.299
S752,0.667,0.464,0.509
S753,0.607,0.46,0.502
S754,0.899,0.244,0.86
S755,0.493,0.594,0.438
S756,0.214,0.622,0.419
S757,0.603,0.378,0.531
S758,0.704,0.255,0.622
S759,0.505,0.471,0.55
S760,0.381,0.659,0.402
S761,0.551,0.466,0.638
S762,0.578,0.438,0.533
S763,0.757,0.309,0.78
S764,0.388,0.579,0.409
S765,0.559,0.408,0.519
S766,0.397,0.538,0.324
S767,0.517,0.423,0.644
S768,0.615,0.398,0.576
S769,0.12,0.774,0.236
S770,0.494,0.554,0.416
S771,0.568,0.479,0.612
S772,0.626,0.422,0.656
S773,0.48,0.614,0.35
S774,0.523,0.505,0.508
S775,0.524,0.453,0.517
S776,0.556,0.564,0.514
S777,0.49,0.485,0.445
S778,0.791,0.293,0.605
S779,0.383,0.597,0.355
S780,0.478,0.42,0.502
S781,0.539,0.705,0.446
S782,0.337,0.633,0.318
S783,0.289,0.643,0.174
S784,0.165,0.804,0.279
S785,0.356,0.823,0.304
S786,0.357,0.785,0.454
S787,0.547,0.407,0.512
S788,0.352,0.6,0.384
S789,0.597,0.479,0.612
S790,0.535,0.512,0.411
S791,0.521,0.471,0.482
S792,0.449,0.412,0.483
S793,0.542,0.46,0.515
S794,0.759,0.3,0.744
S795,0.579,0.434,0.505
S796,0.476,0.613,0.438
S797,0.273,0.513,0.392
S798,0.796,0.455,0.566
S799,0.308,0.58,0.406
S800,0.366,0.62,0.413
S801,0.377,0.722,0.489
S802,0.781,0.191,0.787
S803,0.88,0.189,0.88
S804,0.769,0.279,0.686
S805,0.576,0.555,0.464
S806,0.74,0.294,0.679
S807,0.434,0.571,0.381
S808,0.54,0.474,0.456
S809,0.473,0.607,0.344
S810,0.606,0.568,0.462
S811,0.532,0.495,0.559
S812,0.437,0.489,0.511
S813,0.693,0.363,0.556
S814,0.208,0.71,0.374
S815,0.339,0.605,0.304
S816,0.777,0.268,0.755
S817,0.515,0.567,0.442
S818,0.587,0.485,0.535
S819,0.541,0.382,0.572
S820,0.529,0.732,0.492
S821,0.531,0.408,0.585
S822,0.311,0.751,0.292
S823,0.468,0.557,0.517
S824,0.391,0.553,0.556
S825,0.566,0.497,0.483
S826,0.644,0.526,0.493
S827,0.301,0.666,0.331
S828,0.417,0.552,0.416
S829,0.593,0.442,0.63
S830,0.752,0.266,0.689
S831,0.7,0.318,0.713
S832,0.683,0.335,0.574
S833,0.315,0.669,0.377
S834,0.422,0.567,0.488
S835,0.489,0.548,0.469
S836,0.714,0.432,0.579
S837,0.52,0.39,0.481
S838,0.578,0.469,0.504
S839,0.216,0.899,0.227
S840,0.413,0.543,0.425
S841,0.48,0.551,0.472
S842,0.416,0.615,0.46
S843,0.371,0.617,0.415
S844,0.442,0.557,0.496
S845,0.415,0.58,0.408
S846,0.473,0.619,0.486
S847,0.437,0.56,0.379
S848,0.516,0.436,0.457
S849,0.334,0.61,0.331
S850,0.483,0.389,0.447
S851,0.42,0.574,0.499
S852,0.175,0.817,0.264
S853,0.368,0.62,0.338
S854,0.67,0.345,0.569
S855,0.385,0.625,0.439
S856,0.581,0.465,0.354
S857,0.401,0.606,0.408
S858,0.408,0.48,0.454
S859,0.655,0.555,0.436
S860,0.498,0.67,0.474
S861,0.236,0.758,0.278
S862,0.578,0.517,0.501
S863,0.767,0.329,0.616
S864,0.631,0.351,0.597
S865,0.665,0.245,0.67
S866,0.721,0.258,0.705
S867,0.47,0.411,0.501
S868,0.593,0.305,0.538
S869,0.589,0.482,0.597
S870,0.687,0.351,0.635
S871,0.331,0.543,0.362
S872,0.704,0.371,0.706
S873,0.95,0.183,0.891
S874,0.691,0.343,0.528
S875,0.374,0.653,0.408
S876,0.732,0.395,0.611
S877,0.717,0.215,0.642
S878,0.491,0.497,0.499
S879,0.594,0.37,0.579
S880,0.519,0.469,0.491
S881,0.698,0.264,0.567
S882,0.432,0.663,0.404
S883,0.506,0.593,0.477
S884,0.563,0.469,0.507
S885,0.686,0.351,0.546
S886,0.476,0.453,0.5
S887,0.64,0.324,0.524
S888,0.617,0.397,0.544
S889,0.534,0.492,0.603
S890,0.472,0.554,0.387
S891,0.486,0.72,0.375
S892,0.501,0.586,0.47
S893,0.64,0.296,0.693
S894,0.464,0.594,0.4
S895,0.588,0.455,0.56
S896,0.582,0.489,0.51
S897,0.547,0.611,0.388
S898,0.731,0.378,0.605
S899,0.378,0.494,0.473
S900,0.626,0.467,0.536
S901,0.419,0.64,0.362
S902,0.322,0.599,0.272
S903,0.46,0.598,0.339
S904,0.643,0.462,0.602
S905,0.539,0.376,0.542
S906,0.477,0.386,0.446
S907,0.298,0.731,0.36
S908,0.723,0.476,0.695
S909,0.12,0.725,0.188
S910,0.611,0.345,0.602
S911,0.29,0.641,0.327
S912,0.49,0.535,0.417
S913,0.41,0.652,0.396
S914,0.65,0.364,0.61
S915,0.616,0.41,0.554
S916,0.45,0.564,0.39
S917,0.332,0.537,0.401
S918,0.628,0.329,0.551
S919,0.565,0.484,0.459
S920,0.636,0.441,0.554
S921,0.411,0.464,0.492
S922,0.559,0.37,0.487
S923,0.497,0.62,0.348
S924,0.671,0.24,0.678
S925,0.548,0.565,0.473
S926,0.677,0.259,0.645
S927,0.19,0.674,0.243
S928,0.552,0.478,0.553
S929,0.621,0.256,0.659
