sample_id,bile_acids,scfa,tryptophan_metabolism
S76,0.4754,0.4175,0.5562
S77,0.9595,0.3167,0.7798
S78,0.7358,0.4437,0.8237
S79,0.3777,0.7612,0.4938
S80,0.3596,0.9094,0.402
S81,0.3189,0.4683,0.3896
S82,0.8424,0.2824,0.7725
S83,0.7742,0.3622,0.7616
S84,0.4386,0.8295,0.2037
S85,0.3788,0.7287,0.5917
S86,0.0048,1.0,0.4079
S87,0.3878,0.9213,0.6183
S88,0.6037,0.9495,0.6772
S89,0.5038,0.4235,0.7908
S90,0.7428,0.1757,0.3799
S91,0.5087,0.6184,0.6601
S92,0.6577,0.659,0.5748
S93,0.4518,0.6348,0.475
S94,0.3076,0.3065,0.5783
S95,1.0,0.3539,0.6267
S96,1.0,0.724,0.9645
S97,0.7679,0.1917,0.6082
S98,0.8059,0.5993,0.5143
S99,0.9853,0.4879,0.316
S100,1.0,0.0525,0.7773
S101,0.552,0.5986,0.5789
S102,0.4692,0.6147,0.7178
S103,0.6921,0.3368,0.3954
S104,0.4052,0.5842,0.2347
S105,0.6048,0.5772,0.3768
S106,0.8812,0.5014,0.5352
S107,0.8627,0.4398,0.7974
S108,0.6349,0.5686,0.8208
S109,0.8326,0.5011,0.8204
S110,0.8555,0.1134,1.0
S111,0.3641,0.4851,0.2732
S112,0.5883,0.6506,0.5407
S113,0.8824,0.2871,0.3389
S114,0.7855,0.204,0.6824
S115,0.6893,0.5687,0.5039
S116,0.528,0.3748,0.4386
S117,0.7014,0.5885,0.7808
S118,0.2728,0.6992,0.5437
S119,0.6641,0.464,0.723
S120,0.6224,0.409,0.391
S121,0.3784,0.6777,0.2026
S122,0.4831,0.8223,0.1563
S123,0.4845,0.3227,0.5851
S124,0.9766,0.092,0.5799
S125,0.596,0.7469,0.4501
S126,0.6337,0.4302,0.4545
S127,0.5156,0.6045,0.5302
S128,0.7552,0.7082,1.0
S129,0.4591,0.4723,0.0538
S130,0.2548,0.7467,0.5131
S131,0.8753,0.4043,0.6676
S132,1.0,0.3433,0.8313
S133,0.4175,0.5524,0.5355
S134,0.852,0.5759,0.409
S135,0.2571,0.7347,0.4563
S136,0.7479,0.7748,0.8359
S137,0.7847,0.1476,0.6749
S138,0.6593,0.6284,0.8231
S139,0.5192,0.7451,0.81
S140,0.5946,0.5105,0.746
S141,0.7436,0.4334,0.6478
S142,0.6786,0.8558,0.3158
S143,0.6544,0.9346,0.3729
S144,0.4018,0.6429,0.278
S145,0.5638,0.4541,0.2047
S146,0.7189,0.4096,1.0
S147,0.4189,0.6288,1.0
S148,0.8822,0.2642,0.5144
S149,0.6454,0.7155,0.5808
S150,0.5313,0.3613,0.5705
S151,0.4073,0.6199,0.49
S152,0.5899,0.7441,0.2644
S153,0.4894,0.026,0.9712
S154,0.8009,0.2515,0.7698
S155,0.3829,0.6634,0.18
S156,0.3129,0.6611,0.4872
S157,0.5833,0.4655,0.5095
S158,0.6235,0.4938,0.6959
S159,0.812,0.5032,0.1564
S160,0.7336,0.6462,0.5437
S161,0.4828,0.484,0.6947
S162,0.5102,0.5674,0.2284
S163,1.0,0.6383,0.8396
S164,0.6654,0.3669,0.8218
S165,0.4809,0.7159,0.4499
S166,0.6372,0.3058,0.5849
S167,0.7104,0.4394,0.5312
S168,0.734,0.0154,0.7927
S169,0.8874,0.3974,0.2965
S170,0.8972,0.2119,0.7288
S171,0.7694,0.3645,0.5505
S172,0.2899,0.4986,0.4512
S173,0.5583,0.2075,0.6656
S174,1.0,0.2792,0.6488
S175,0.768,0.5435,0.7836
S176,0.5221,0.4109,0.3935
S177,0.5974,0.4934,0.3144
S178,0.6212,0.3771,0.5472
S179,0.3119,0.6621,0.7448
S180,0.5819,0.7867,0.8131
S181,0.6075,0.8267,0.3579
S182,0.4081,0.4105,0.7082
S183,0.3819,0.5113,0.4243
S184,0.4824,0.0,0.8343
S185,0.5084,0.6755,0.5238
S186,0.4483,0.6107,0.9381
S187,0.4887,0.7525,0.7149
S188,0.4447,0.607,0.6208
S189,0.6439,0.4677,0.6086
S190,0.5655,0.6863,0.282
S191,0.221,0.6671,0.412
S192,0.7697,0.5662,0.2475
S193,0.5103,0.8883,0.8522
S194,0.3195,0.8873,0.7409
S195,0.7235,0.2482,0.4874
S196,0.8269,0.5484,0.515
S197,0.5546,0.5441,0.7547
S198,0.7269,0.5654,0.35
S199,0.9503,0.1989,0.8545
S200,0.2272,0.4612,0.6312
S201,0.2572,0.5206,0.5416
S202,0.6934,0.4724,0.6063
S203,0.6418,0.576,0.3527
S204,0.5061,0.8563,0.5883
S205,0.6964,0.2716,0.576
S206,0.6565,0.6988,0.3375
S207,0.5588,0.3586,0.6679
S208,0.7806,0.1778,0.2626
S209,0.6202,0.5521,0.3861
S210,0.9973,0.4446,0.2214
S211,0.7592,0.3965,0.9127
S212,0.6401,0.7684,0.6414
S213,0.4407,0.7891,0.3395
S214,0.4867,0.2857,0.8044
S215,0.613,0.3316,0.4656
S216,0.726,0.1558,0.7697
S217,0.3921,0.2895,0.4447
S218,0.5839,0.2464,0.5383
S219,0.2105,0.8805,0.3486
S220,0.351,0.8063,0.4102
S221,0.2765,0.4957,0.337
S222,0.6237,0.608,0.4405
S223,0.5515,0.3795,0.5696
S224,0.8365,0.3677,0.833
S225,0.4368,0.0361,0.7405
S226,0.5698,1.0,0.6075
S227,0.6688,0.7516,0.6041
S228,0.2524,0.6023,0.2771
S229,0.4621,0.7029,0.5219
S230,0.6252,0.3973,0.2673
S231,0.7203,0.2422,0.621
S232,0.8131,0.7464,0.6113
S233,0.32,0.543,0.7269
S234,0.465,0.552,0.6399
S235,0.5331,0.3223,0.3811
S236,0.519,0.4952,0.5932
S237,0.802,0.7188,0.8697
S238,0.5245,0.5666,0.6577
S239,0.3514,0.5104,0.3252
S240,0.737,0.5523,0.3566
S241,0.6397,0.9909,0.6757
S242,0.813,0.483,0.6384
S243,0.7034,0.3503,0.7998
S244,0.5685,0.7699,0.4346
S245,0.6799,0.5108,0.3268
S246,0.8236,0.7907,0.6392
S247,0.6304,0.7271,0.2269
S248,0.5419,0.8764,0.2983
S249,0.4409,0.4265,0.5337
S250,1.0,0.2982,0.64
S251,0.5686,0.1168,0.9412
S252,0.761,0.4465,0.0593
S253,0.4371,0.4502,0.1554
S254,0.8357,0.4318,0.6284
S255,0.42,0.5388,0.5177
S256,0.5883,0.8207,0.6231
S257,0.6981,0.5975,0.6699
S258,0.4793,0.4882,0.1243
S259,0.3654,0.8156,0.4261
S260,0.7567,0.483,0.6955
S261,0.764,0.1726,0.9321
S262,0.5917,0.1047,0.1966
S263,0.3846,0.7462,0.5673
S264,0.4726,0.8172,0.8814
S265,0.3776,0.8123,0.4456
S266,0.3535,0.2566,0.454
S267,0.2349,0.5416,0.1802
S268,0.5504,0.4246,0.4834
S269,0.4375,0.3701,0.4396
S270,0.7284,0.1575,0.6862
S271,0.589,0.6167,0.6175
S272,0.3929,0.821,0.3819
S273,0.7523,0.6678,0.1989
S274,0.6736,0.6946,0.8744
S275,0.8836,0.1888,0.8102
S276,0.5918,0.5724,0.4179
S277,0.6641,0.4856,0.7167
S278,0.4809,0.4304,0.6771
S279,0.5693,0.9865,0.2999
S280,1.0,0.2631,0.8838
S281,1.0,0.2396,0.5523
S282,0.9917,0.3557,0.5552
S283,0.3047,0.6918,0.3161
S284,0.7846,0.3175,0.5122
S285,0.1974,0.5058,0.5572
S286,0.6942,0.0486,0.8605
S287,0.2787,0.8035,0.3268
S288,0.7784,0.3681,0.86
S289,0.9727,0.4702,0.7207
S290,0.407,0.5246,0.5956
S291,0.6528,0.3695,0.5151
S292,0.4993,0.718,0.4871
S293,0.8517,0.3353,0.5805
S294,0.7481,0.9007,0.5751
S295,0.587,0.6318,0.0
S296,0.5767,0.3227,0.969
S297,0.5794,0.6074,0.7592
S298,0.6158,0.1071,0.5653
S299,0.5758,0.8071,0.2728
S300,0.3155,0.5348,0.6341
S301,0.2472,0.7366,0.3465
S302,0.6189,0.5882,0.8499
S303,1.0,0.3323,0.8429
S304,0.6163,0.6049,0.9646
S305,0.1714,0.7331,0.3803
S306,0.8169,0.4551,0.4334
S307,0.4238,0.7715,0.4019
S308,0.2314,0.0968,0.7202
S309,0.2821,1.0,0.5057
S310,0.8104,0.1372,0.4709
S311,0.4797,0.5814,0.488
S312,0.728,0.2046,0.7756
S313,0.9264,0.0678,0.8403
S314,0.6946,0.5933,0.7106
S315,0.8687,0.1533,0.5669
S316,0.5637,0.4332,0.3757
S317,0.7889,0.4775,0.5362
S318,0.9264,0.3434,0.7134
S319,0.5052,0.3756,0.5102
S320,0.7522,0.4451,0.2972
S321,0.5851,0.4346,0.437
S322,0.5375,0.507,0.5119
S323,0.976,0.1898,0.7543
S324,1.0,0.371,0.6447
S325,0.3236,0.5084,0.3528
S326,0.7215,0.1031,0.5708
S327,0.4035,0.3778,0.4877
S328,0.06,0.5256,0.599
S329,0.7006,0.4176,0.6345
S330,0.7907,0.4383,0.6028
S331,0.6144,0.744,0.5461
S332,0.3741,0.595,0.4199
S333,0.711,0.3014,0.3737
S334,0.4838,0.4672,0.542
S335,0.6873,0.6859,0.4042
S336,0.3997,0.5997,0.7616
S337,0.5699,0.2875,0.1321
S338,0.7385,0.6321,0.8966
S339,0.7599,0.4388,0.4742
S340,1.0,0.2376,0.9938
S341,0.7779,0.2848,0.6146
S342,0.9055,0.4587,0.4674
S343,0.4709,0.4708,0.4702
S344,0.7755,0.3598,0.5918
S345,0.6269,0.6277,0.6264
S346,0.3546,0.2865,0.6885
S347,0.5615,0.3322,0.5469
S348,0.6615,0.2444,0.3392
S349,0.4366,0.3524,0.313
S350,1.0,0.0924,0.509
S351,0.4159,0.9564,0.1772
S352,0.5631,0.2025,0.2047
S353,0.8783,0.2522,0.58
S354,0.46,0.6715,0.7632
S355,1.0,0.382,1.0
S356,0.6358,0.3671,0.3152
S357,0.6861,0.5915,0.1768
S358,0.3371,0.9613,0.3261
S359,0.6934,0.3178,0.604
S360,0.5272,0.0,0.547
S361,0.4168,0.7282,0.5519
S362,0.9119,0.3912,0.5737
S363,0.8532,0.5521,0.433
S364,0.847,0.753,0.227
S365,0.8532,0.5169,0.6025
S366,0.9194,0.2123,0.848
S367,0.9334,0.5193,0.6691
S368,0.5772,0.7747,0.4243
S369,0.9144,0.4286,0.4846
S370,0.5684,0.2592,0.3508
S371,0.5471,0.1503,0.9089
S372,1.0,0.1787,0.4664
S373,0.6717,0.9285,0.5062
S374,0.5133,0.5715,0.3637
S375,0.8029,0.496,0.9424
S376,0.6215,0.5386,0.6035
S377,0.6378,0.5074,0.5489
S378,0.4732,0.5977,0.6276
S379,0.3992,0.265,0.2963
S380,0.3,0.7172,0.578
S381,0.4881,0.1514,0.6141
S382,0.3614,0.4176,0.0406
S383,0.7485,0.1587,0.1541
S384,0.5891,0.5707,0.736
S385,0.6727,0.2782,0.5436
S386,0.3673,0.5012,0.369
S387,0.4295,0.7603,0.3432
S388,0.6306,0.5688,0.3708
S389,0.5256,0.4322,0.7746
S390,0.8413,0.6569,0.7552
S391,0.6479,0.5029,0.4847
S392,0.7551,0.0621,1.0
S393,0.821,0.1853,0.7922
S394,0.9038,0.5729,0.9969
S395,0.4694,0.5483,0.415
S396,0.4929,0.623,0.2505
S397,0.8757,0.3372,0.6283
S398,0.3049,0.6281,0.5085
S399,0.7186,0.1928,0.3073
S400,0.6856,0.3362,0.6838
S401,0.8309,0.5952,0.4715
S402,0.5722,0.2662,0.7345
S403,0.9267,0.5316,0.4426
S404,0.4674,0.4274,0.5343
S405,0.4827,0.6423,0.3827
S406,0.7091,0.5845,0.5051
S407,0.4272,0.5442,0.5902
S408,0.8545,0.4915,0.5612
S409,0.4977,0.3934,0.1728
S410,0.9303,0.3382,0.6735
S411,0.7169,0.8097,0.3025
S412,0.2366,0.3511,0.6503
S413,0.8999,0.4403,0.7379
S414,0.5555,0.4505,0.7386
S415,0.6116,0.579,0.3376
S416,0.7961,0.3219,0.5528
S417,1.0,0.593,0.8537
S418,0.4691,0.5267,0.5026
S419,0.4369,0.3742,0.3748
S420,0.3025,0.6411,0.369
S421,0.833,0.3192,0.9417
S422,0.7582,0.8563,0.2923
S423,1.0,0.3594,0.7821
S424,1.0,0.3871,0.6736
S425,0.4768,0.606,0.7248
S426,0.8156,0.1894,0.6761
S427,0.6186,0.7866,0.548
S428,0.7195,0.2402,0.8369
S429,0.6852,0.3398,0.5592
S430,0.6583,0.1181,0.735
S431,0.2947,0.5164,0.5289
S432,0.7248,0.3787,1.0
S433,0.9861,0.2002,0.3655
S434,0.7669,0.3996,0.977
S435,0.6352,0.6721,0.7108
S436,0.9272,0.0,0.7368
S437,0.112,0.6228,0.5961
S438,0.4242,0.4264,0.5107
S439,0.6733,0.2654,0.7338
S440,0.5459,0.2875,0.7415
S441,0.5798,0.772,0.2588
S442,0.5675,0.6107,0.3555
S443,0.5232,0.507,0.1876
S444,1.0,0.2756,0.6252
S445,0.6852,0.3892,0.5883
S446,0.9337,0.0869,0.6509
S447,0.7884,0.6682,0.7005
S448,0.6566,0.2471,0.5086
S449,0.6752,0.4329,0.4914
S450,0.497,0.4115,0.6179
S451,0.7338,0.3974,0.332
S452,0.8925,0.7333,0.4773
S453,0.6085,0.4996,0.5732
S454,0.8172,0.3978,0.6493
S455,0.6956,0.4563,0.9606
S456,0.672,0.6669,0.7129
S457,0.9877,0.438,1.0
S458,1.0,0.0,0.831
S459,0.8197,0.4085,0.53
S460,1.0,0.6762,0.4364
S461,0.8731,0.0592,0.727
S462,0.5619,0.1259,0.1505
S463,0.8821,0.3438,0.8314
S464,0.2311,0.7327,0.4154
S465,1.0,0.4602,0.5871
S466,0.6295,0.4471,0.4368
S467,0.8927,0.4138,0.9768
S468,0.3066,0.6061,0.4089
S469,0.5584,0.7387,0.4404
S470,0.736,0.4562,0.4748
S471,0.7629,0.5097,0.6115
S472,0.3381,0.5855,0.4733
S473,0.4322,0.316,0.3961
S474,0.3348,0.6647,0.5957
S475,0.5514,0.743,0.3891
S476,0.6539,0.6723,0.5442
S477,0.6002,0.53,0.4767
S478,0.5659,0.6314,0.4711
S479,0.5242,0.9096,0.5789
S480,0.4058,0.6917,0.7079
S481,0.6665,0.5759,0.2157
S482,1.0,0.5169,0.5221
S483,0.7559,0.3508,1.0
S484,0.4332,0.4837,0.2441
S485,0.3251,0.5286,0.5424
S486,0.7823,0.3346,0.8732
S487,0.7474,0.7182,0.4191
S488,0.6463,0.643,0.3301
S489,0.764,0.1197,0.7042
S490,0.2391,0.6546,0.6846
S491,0.6545,0.8797,0.5239
S492,0.8813,0.5603,0.6136
S493,0.4194,0.5686,0.5333
S494,0.5787,0.4577,0.6778
S495,0.705,0.3368,0.4264
S496,0.9659,0.1527,0.5405
S497,0.9499,0.1985,0.8352
S498,0.3845,0.7346,0.5195
S499,0.9392,0.2713,0.751
S500,0.8981,0.3056,0.6206
S501,0.6734,0.6381,0.5258
S502,0.9609,0.4655,0.5749
S503,0.9039,0.6101,0.7731
S504,0.5394,0.2271,0.7183
S505,0.405,0.3749,0.5973
S506,0.7007,0.1002,0.5783
S507,0.8124,0.0563,0.5771
S508,0.5049,0.516,0.1356
S509,0.5077,0.7385,0.2903
S510,0.4915,0.9059,0.4939
S511,0.6481,0.5423,0.2176
S512,0.865,0.6846,0.6147
S513,0.5076,0.584,0.2769
S514,0.7124,0.5386,0.539
S515,0.7791,0.4942,0.5311
S516,0.8081,0.3042,0.4053
S517,0.2188,0.5044,0.5314
S518,0.7703,0.5177,0.753
S519,0.7135,0.4366,0.8801
S520,0.4765,0.7602,0.6322
S521,0.7368,0.4401,0.5635
S522,0.5643,0.5086,0.7601
S523,0.5234,0.2982,0.3346
S524,0.442,1.0,0.5019
S525,0.502,0.5276,0.5043
S526,0.7471,0.5266,0.514
S527,0.4673,0.4122,0.7549
S528,0.1612,0.5609,0.6682
S529,0.431,0.4654,0.4635
S530,0.4413,0.4554,0.7213
S531,0.9825,0.3538,0.6855
S532,0.3131,0.5898,0.6615
S533,0.6707,0.5303,0.6219
S534,0.4795,0.3961,0.5236
S535,0.95,0.6843,0.62
S536,0.5383,0.5928,0.8334
S537,0.5942,0.7524,0.5493
S538,0.3838,1.0,0.4258
S539,0.4739,0.4847,0.445
S540,0.5968,0.569,0.4689
S541,0.6842,0.1301,0.7701
S542,0.8418,0.4097,0.5644
S543,0.7397,0.8143,0.6444
S544,0.8933,0.2427,0.5669
S545,0.5064,0.7129,0.746
S546,0.7073,0.6585,0.3512
S547,0.3762,0.6784,0.4849
S548,0.9364,0.3789,0.4268
S549,0.3867,0.5883,0.3264
S550,0.2596,0.4833,0.4258
S551,0.1758,0.5416,0.2805
S552,0.7639,0.27,0.5315
S553,0.7293,0.4463,0.9686
S554,0.3933,0.8394,0.3639
S555,0.6457,0.6304,0.671
S556,0.3531,0.6787,0.2702
S557,0.3839,0.527,0.3947
S558,1.0,0.4344,0.792
S559,0.0454,0.4206,0.6551
S560,0.7507,0.4894,0.9252
S561,0.3829,0.51,0.4416
S562,0.463,0.4295,0.5474
S563,0.7727,0.2818,0.7156
S564,0.9133,0.3497,1.0
S565,0.3766,0.5413,0.5968
S566,0.6158,0.5031,0.1507
S567,0.8691,0.2612,0.4561
S568,0.5316,0.6699,0.3643
S569,0.454,0.4966,0.5002
S570,0.9719,0.4472,0.4875
S571,0.992,0.3589,0.8198
S572,0.2716,0.5627,0.6495
S573,0.7253,0.4643,1.0
S574,1.0,0.2598,0.4382
S575,0.8047,0.4067,0.5165
S576,0.8755,0.0044,0.407
S577,0.5884,0.5637,0.7395
S578,0.4874,0.4735,0.4826
S579,0.3769,0.5799,0.3358
S580,0.5901,0.5532,0.4496
S581,0.5734,0.5001,0.6862
S582,0.8273,0.2501,0.8567
S583,0.3945,0.4377,0.5112
S584,0.7244,0.1066,0.4489
S585,0.4122,0.6071,0.4728
S586,0.1599,0.3057,1.0
S587,0.5156,0.4049,0.4302
S588,0.3781,0.5719,0.5152
S589,0.2282,0.6474,0.5631
S590,1.0,0.4252,0.7133
S591,0.5249,0.6219,0.1074
S592,0.4731,0.0,0.8158
S593,0.2981,0.5288,0.7885
S594,0.7165,0.307,0.7525
S595,0.6295,0.8871,0.9292
S596,1.0,0.2298,0.4881
S597,0.6338,0.5274,0.3221
S598,0.2441,0.3326,0.5535
S599,0.3409,0.7536,0.5961
S600,0.9595,0.4352,0.5213
S601,0.3162,0.9402,0.414
S602,0.4294,0.6462,0.4569
S603,0.3777,0.7877,0.3733
S604,0.3231,0.6899,0.4802
S605,0.2612,0.8981,0.7259
S606,0.6136,0.3386,0.4667
S607,0.557,0.6148,0.6585
S608,1.0,0.2821,1.0
S609,0.6685,0.5677,0.6426
S610,0.8174,0.5852,0.5429
S611,0.5742,0.5764,0.6121
S612,0.5748,0.6784,0.0928
S613,0.9282,0.359,0.5233
S614,0.5117,0.569,0.5842
S615,0.5187,0.4209,0.4679
S616,1.0,0.5308,0.9258
S617,0.3657,0.3068,0.4806
S618,0.5987,0.0697,0.5548
S619,0.683,0.5055,0.3767
S620,0.6325,0.9504,0.2324
S621,0.5834,0.3241,0.9002
S622,0.9878,0.5138,0.8211
S623,0.65,0.7589,0.6259
S624,0.619,0.3263,0.5
S625,0.6197,0.6005,0.6035
S626,0.7858,0.2959,0.7135
S627,0.4889,0.6449,0.3891
S628,0.5551,0.6699,0.4375
S629,0.3603,0.4361,0.547
S630,0.6455,0.8831,0.631
S631,0.7989,0.4862,0.729
S632,0.2993,0.6911,0.2221
S633,0.623,0.7019,0.2475
S634,0.5271,0.6754,0.1072
S635,0.6563,0.7147,0.4773
S636,0.6882,0.5561,0.3617
S637,0.3381,0.5351,0.6222
S638,0.555,0.383,0.5152
S639,0.5811,0.3472,0.915
S640,0.3484,0.6394,0.6297
S641,0.7434,0.3633,0.5812
S642,0.9016,0.3415,0.9057
S643,0.6786,0.6503,0.4401
S644,0.4986,0.7979,0.5041
S645,0.4021,0.0827,0.6262
S646,0.6028,0.3353,0.534
S647,0.7522,0.1679,0.8742
S648,0.6588,0.7834,0.0693
S649,0.8618,0.6111,0.6684
S650,0.5674,0.4249,0.434
S651,0.4993,0.5551,0.768
S652,0.3798,0.4895,0.7533
S653,0.6695,0.8482,0.4494
S654,0.6353,0.5295,0.6955
S655,0.6203,0.45,0.8138
S656,0.4767,0.4418,0.7649
S657,0.9684,0.3669,0.5866
S658,0.7265,0.3252,0.8142
S659,0.512,0.3197,0.5122
S660,0.5624,0.718,0.57
S661,1.0,0.542,0.7123
S662,0.7123,0.4572,0.5441
S663,0.875,0.4265,0.555
S664,0.7379,0.3845,0.7293
S665,0.7462,0.6493,0.725
S666,0.7538,0.6994,0.6157
S667,0.5262,0.3381,0.3055
S668,0.9125,0.4753,0.8566
S669,0.4032,0.5646,0.4256
S670,0.5924,0.8548,0.49
S671,0.6952,0.2461,0.4178
S672,0.6197,0.8242,0.6828
S673,0.6907,0.203,0.8233
S674,0.3867,0.5917,0.6976
S675,1.0,0.3323,1.0
S676,1.0,0.5179,0.6136
S677,0.6924,0.2304,0.7109
S678,1.0,0.2609,0.9261
S679,0.2332,0.4097,0.6208
S680,0.5828,0.4232,0.3612
S681,0.4982,0.368,0.618
S682,0.6968,0.3143,0.7884
S683,0.216,0.3819,0.0
S684,0.8905,0.3392,0.8245
S685,0.6231,0.8339,0.2849
S686,0.671,1.0,0.5477
S687,1.0,0.2718,0.7581
S688,0.5484,0.3679,0.2603
S689,0.8001,0.0,0.9216
S690,0.5819,0.0263,0.8078
S691,0.9218,0.2876,0.8997
S692,0.6976,0.6869,0.3455
S693,0.5267,0.538,0.8945
S694,0.6092,0.6629,0.3433
S695,0.4685,0.4602,0.7496
S696,0.851,0.5339,0.7864
S697,0.9697,0.5319,0.5499
S698,0.6934,0.2819,0.4053
S699,0.5263,0.6636,0.7485
S700,0.6167,0.4728,0.451
S701,0.6208,0.4848,0.3487
S702,0.7796,0.4846,0.818
S703,0.6803,0.3104,0.6633
S704,0.6194,0.4238,0.3932
S705,0.4332,0.6767,0.485
S706,0.6326,0.9681,0.191
S707,0.1989,0.6771,0.6097
S708,0.3697,0.3679,0.6251
S709,0.3644,0.7614,0.3237
S710,0.4623,0.3485,0.7992
S711,0.3846,0.7094,0.2573
S712,0.7208,0.5796,0.6093
S713,0.4005,0.6703,0.6124
S714,0.6704,0.4741,0.2906
S715,0.4868,0.511,0.5122
S716,0.527,0.5281,0.4146
S717,0.3147,0.1539,0.3433
S718,0.3931,0.6648,0.2535
S719,1.0,0.4257,0.7117
S720,0.7777,0.6839,0.4943
S721,0.7716,0.4616,0.8532
S722,0.6118,0.3909,0.5442
S723,0.5831,0.5084,0.3743
S724,0.2916,0.7646,0.1145
S725,0.8325,0.2442,0.7332
S726,0.5493,0.596,0.3068
S727,0.586,0.112,0.6015
S728,0.8177,0.5489,0.8218
S729,0.5562,0.3298,0.7807
S730,0.4881,0.8679,0.5132
S731,0.4856,0.5438,0.7602
S732,0.4754,0.7126,0.5246
S733,0.335,0.9024,0.5522
S734,1.0,0.0,0.839
S735,0.481,0.5343,0.7351
S736,0.3861,0.5232,0.2769
S737,0.9164,0.4964,0.6185
S738,0.5332,0.7411,0.6769
S739,0.4542,0.6597,0.1767
S740,0.6781,0.1479,0.3348
S741,0.6251,0.3048,0.2529
S742,0.3283,0.3817,0.2309
S743,0.8632,0.2197,0.6382
S744,0.5384,0.6114,0.2996
S745,0.9006,0.0,0.9754
S746,0.5473,0.7208,0.7576
S747,0.6254,0.8419,0.5876
S748,0.5317,0.5325,0.6071
S749,0.5186,0.4298,0.4361
S750,0.6255,0.669,0.6914
S751,0.5718,0.8059,0.8026
S752,0.4955,0.6149,0.6042
S753,0.4573,0.7325,0.6857
S754,0.4018,0.6776,0.537
S755,0.2935,0.4574,0.397
S756,0.3668,0.0719,0.442
S757,0.6556,0.2272,0.2405
S758,0.5029,0.4443,0.7533
S759,0.4646,0.493,0.4512
S760,1.0,0.1894,0.8601
S761,0.7955,0.2044,0.8692
S762,0.6422,0.7329,0.4994
S763,0.3644,0.7085,0.4531
S764,0.3542,0.8427,0.8279
S765,0.5364,0.577,0.73
S766,0.253,0.6697,0.5945
S767,0.9493,0.4357,0.7607
S768,1.0,0.3917,0.7843
S769,0.9724,0.4913,0.7082
S770,0.5483,0.7661,0.9907
S771,0.7671,0.1486,0.4357
S772,0.4437,0.5821,0.5205
S773,0.8241,0.4865,0.3369
S774,0.5638,0.6533,0.5203
S775,0.5325,0.8029,0.858
S776,0.9637,0.4826,0.9464
S777,0.6383,0.5104,0.4692
S778,0.8564,0.2561,0.7818
S779,0.8177,0.3298,0.6741
S780,0.694,0.3736,0.7066
S781,0.8232,0.1633,0.3658
S782,0.8484,0.4067,0.5699
S783,0.6715,0.6444,0.4448
S784,0.698,0.6011,0.5271
S785,0.5894,0.5417,0.5579
S786,0.3025,0.686,0.5968
S787,0.623,0.5835,0.4118
S788,0.3717,0.9164,0.7291
S789,0.8862,0.0042,0.7233
S790,0.2633,1.0,0.2963
S791,0.023,0.4127,0.5086
